trade_date,contract_code,contract_month,settle,volume
2024-01-02,EURIBOR,2024-01,96.115,15320
2024-01-03,EURIBOR,2024-01,96.1,44390
2024-01-04,EURIBOR,2024-01,96.085,32900
2024-01-05,EURIBOR,2024-01,96.085,15630
2024-01-08,EURIBOR,2024-01,96.085,24830
2024-01-09,EURIBOR,2024-01,96.08,16070
2024-01-10,EURIBOR,2024-01,96.065,12450
2024-01-11,EURIBOR,2024-01,96.06,30210
2024-01-12,EURIBOR,2024-01,96.075,23940
2024-01-15,EURIBOR,2024-01,96.072,3180
2024-01-16,EURIBOR,2024-01,96.155,34840
2024-01-17,EURIBOR,2024-01,96.14,24660
2024-01-18,EURIBOR,2024-01,96.115,26660
2024-01-19,EURIBOR,2024-01,96.105,11170
2024-01-22,EURIBOR,2024-01,96.1,9890
2024-01-23,EURIBOR,2024-01,96.095,11190
2024-01-24,EURIBOR,2024-01,96.1,15900
2024-01-25,EURIBOR,2024-01,96.13,31180
2024-01-26,EURIBOR,2024-01,96.13,16950
2024-01-29,EURIBOR,2024-01,96.15,26070
2024-01-30,EURIBOR,2024-01,96.135,15570
2024-01-31,EURIBOR,2024-01,96.155,36170
2024-02-01,EURIBOR,2024-02,96.135,18680
2024-02-02,EURIBOR,2024-02,96.11,17940
2024-02-05,EURIBOR,2024-02,96.095,14240
2024-02-06,EURIBOR,2024-02,96.095,15300
2024-02-07,EURIBOR,2024-02,96.095,14710
2024-02-08,EURIBOR,2024-02,96.09,17050
2024-02-09,EURIBOR,2024-02,96.085,19130
2024-02-12,EURIBOR,2024-02,96.09,10910
2024-02-13,EURIBOR,2024-02,96.085,19200
2024-02-14,EURIBOR,2024-02,96.085,14530
2024-02-15,EURIBOR,2024-02,96.085,7930
2024-02-16,EURIBOR,2024-02,96.075,15060
2024-02-19,EURIBOR,2024-02,96.068,12580
2024-02-20,EURIBOR,2024-02,96.115,143950
2024-02-21,EURIBOR,2024-02,96.1,100540
2024-02-22,EURIBOR,2024-02,96.09,230980
2024-02-23,EURIBOR,2024-02,96.095,176610
2024-02-26,EURIBOR,2024-02,96.08,123810
2024-02-27,EURIBOR,2024-02,96.085,156470
2024-02-28,EURIBOR,2024-02,96.095,123280
2024-02-29,EURIBOR,2024-02,96.085,267090
2024-03-01,EURIBOR,2024-03,96.075,227360
2024-03-04,EURIBOR,2024-03,96.075,136320
2024-03-05,EURIBOR,2024-03,96.085,206100
2024-03-06,EURIBOR,2024-03,96.08,182980
2024-03-07,EURIBOR,2024-03,96.075,250950
2024-03-08,EURIBOR,2024-03,96.08,197840
2024-03-11,EURIBOR,2024-03,96.075,93390
2024-03-12,EURIBOR,2024-03,96.075,142280
2024-03-13,EURIBOR,2024-03,96.07,123110
2024-03-14,EURIBOR,2024-03,96.07,133110
2024-03-15,EURIBOR,2024-03,96.065,120210
2024-03-18,EURIBOR,2024-03,96.072,18760
2024-03-19,EURIBOR,2024-03,96.115,14920
2024-03-20,EURIBOR,2024-03,96.115,16710
2024-03-21,EURIBOR,2024-03,96.125,31680
2024-03-22,EURIBOR,2024-03,96.145,31630
2024-03-25,EURIBOR,2024-03,96.14,21070
2024-03-26,EURIBOR,2024-03,96.15,48220
2024-03-27,EURIBOR,2024-03,96.155,44870
2024-03-28,EURIBOR,2024-03,96.15,11360
2024-04-02,EURIBOR,2024-04,96.16,23410
2024-04-03,EURIBOR,2024-04,96.155,36770
2024-04-04,EURIBOR,2024-04,96.15,41780
2024-04-05,EURIBOR,2024-04,96.145,26200
2024-04-08,EURIBOR,2024-04,96.13,19810
2024-04-09,EURIBOR,2024-04,96.125,44900
2024-04-10,EURIBOR,2024-04,96.11,51930
2024-04-11,EURIBOR,2024-04,96.105,52170
2024-04-12,EURIBOR,2024-04,96.11,44720
2024-04-15,EURIBOR,2024-04,96.112,18830
2024-04-16,EURIBOR,2024-04,96.195,35690
2024-04-17,EURIBOR,2024-04,96.195,29620
2024-04-18,EURIBOR,2024-04,96.185,19120
2024-04-19,EURIBOR,2024-04,96.18,17090
2024-04-22,EURIBOR,2024-04,96.19,9090
2024-04-23,EURIBOR,2024-04,96.19,14060
2024-04-24,EURIBOR,2024-04,96.185,8810
2024-04-25,EURIBOR,2024-04,96.18,19320
2024-04-26,EURIBOR,2024-04,96.185,13580
2024-04-29,EURIBOR,2024-04,96.205,19140
2024-04-30,EURIBOR,2024-04,96.205,24410
