trade_date,contract_code,contract_month,settle,volume
2024-01-02,NBP,2024-01,76.21,480
2024-01-03,NBP,2024-01,80.62,260
2024-01-04,NBP,2024-01,82.36,450
2024-01-05,NBP,2024-01,85.16,260
2024-01-08,NBP,2024-01,78.15,340
2024-01-09,NBP,2024-01,75.56,700
2024-01-10,NBP,2024-01,76.18,300
2024-01-11,NBP,2024-01,75.87,1160
2024-01-12,NBP,2024-01,78.08,580
2024-01-15,NBP,2024-01,73.14,570
2024-01-16,NBP,2024-01,72.56,1260
2024-01-17,NBP,2024-01,67.3,450
2024-01-18,NBP,2024-01,67.83,1160
2024-01-19,NBP,2024-01,69.6,880
2024-01-22,NBP,2024-01,67.05,1020
2024-01-23,NBP,2024-01,67.3,500
2024-01-24,NBP,2024-01,71.39,470
2024-01-25,NBP,2024-01,68.95,650
2024-01-26,NBP,2024-01,69.74,710
2024-01-29,NBP,2024-01,69.69,570
2024-01-30,NBP,2024-01,73.08,530
2024-01-31,NBP,2024-01,74.62,640
2024-02-01,NBP,2024-02,72.25,450
2024-02-02,NBP,2024-02,72.38,480
2024-02-05,NBP,2024-02,70.26,610
2024-02-06,NBP,2024-02,70.7,600
2024-02-07,NBP,2024-02,69.51,580
2024-02-08,NBP,2024-02,68.57,1190
2024-02-09,NBP,2024-02,66.77,590
2024-02-12,NBP,2024-02,63.35,640
2024-02-13,NBP,2024-02,62.41,660
2024-02-14,NBP,2024-02,61.24,340
2024-02-15,NBP,2024-02,61.47,720
2024-02-16,NBP,2024-02,60.98,280
2024-02-19,NBP,2024-02,58.2,370
2024-02-20,NBP,2024-02,59.3,190
2024-02-21,NBP,2024-02,58.76,160
2024-02-22,NBP,2024-02,56.99,250
2024-02-23,NBP,2024-02,56.28,140
2024-02-26,NBP,2024-02,58.94,190
2024-02-27,NBP,2024-02,60.13,670
2024-02-28,NBP,2024-02,63.62,210
2024-02-29,NBP,2024-02,61.58,280
2024-03-01,NBP,2024-03,64.16,450
2024-03-04,NBP,2024-03,67.17,630
2024-03-05,NBP,2024-03,68.48,310
2024-03-06,NBP,2024-03,66.32,220
2024-03-07,NBP,2024-03,64.9,90
2024-03-08,NBP,2024-03,65.44,370
2024-03-11,NBP,2024-03,62.08,240
2024-03-12,NBP,2024-03,61.98,310
2024-03-13,NBP,2024-03,61.99,430
2024-03-14,NBP,2024-03,64.86,590
2024-03-15,NBP,2024-03,67.32,210
2024-03-18,NBP,2024-03,72.18,850
2024-03-19,NBP,2024-03,72.45,680
2024-03-20,NBP,2024-03,69.94,870
2024-03-21,NBP,2024-03,67.11,260
2024-03-22,NBP,2024-03,70.46,320
2024-03-25,NBP,2024-03,72.26,170
2024-03-26,NBP,2024-03,68.59,320
2024-03-27,NBP,2024-03,69.23,330
2024-03-28,NBP,2024-03,68.69,430
2024-04-02,NBP,2024-04,65.98,470
2024-04-03,NBP,2024-04,64.77,1290
2024-04-04,NBP,2024-04,66.52,880
2024-04-05,NBP,2024-04,67.58,620
2024-04-08,NBP,2024-04,70.93,560
2024-04-09,NBP,2024-04,69.62,800
2024-04-10,NBP,2024-04,69.06,430
2024-04-11,NBP,2024-04,74.83,1300
2024-04-12,NBP,2024-04,77.83,900
2024-04-15,NBP,2024-04,78.56,580
2024-04-16,NBP,2024-04,83.39,530
2024-04-17,NBP,2024-04,78.62,690
2024-04-18,NBP,2024-04,81.28,680
2024-04-19,NBP,2024-04,77.55,630
2024-04-22,NBP,2024-04,74.49,200
