trade_date,contract_code,contract_month,settle,volume
2024-01-02,SONIA,2024-01,94.78,9650
2024-01-03,SONIA,2024-01,94.78,9620
2024-01-04,SONIA,2024-01,94.78,5490
2024-01-05,SONIA,2024-01,94.79,10620
2024-01-08,SONIA,2024-01,94.78,4370
2024-01-09,SONIA,2024-01,94.78,1920
2024-01-10,SONIA,2024-01,94.78,9790
2024-01-11,SONIA,2024-01,94.78,5030
2024-01-12,SONIA,2024-01,94.79,7330
2024-01-15,SONIA,2024-01,94.79,7270
2024-01-16,SONIA,2024-01,94.78,6170
2024-01-17,SONIA,2024-01,94.78,14920
2024-01-18,SONIA,2024-01,94.79,2600
2024-01-19,SONIA,2024-01,94.78,1880
2024-01-22,SONIA,2024-01,94.78,1520
2024-01-23,SONIA,2024-01,94.78,4750
2024-01-24,SONIA,2024-01,94.78,4480
2024-01-25,SONIA,2024-01,94.79,2860
2024-01-26,SONIA,2024-01,94.79,2360
2024-01-29,SONIA,2024-01,94.78,2290
2024-01-30,SONIA,2024-01,94.78,3470
2024-01-31,SONIA,2024-01,94.79,31870
2024-02-01,SONIA,2024-02,94.78,17220
2024-02-02,SONIA,2024-02,94.78,7620
2024-02-05,SONIA,2024-02,94.78,3760
2024-02-06,SONIA,2024-02,94.78,1000
2024-02-07,SONIA,2024-02,94.79,3370
2024-02-08,SONIA,2024-02,94.78,2560
2024-02-09,SONIA,2024-02,94.78,610
2024-02-12,SONIA,2024-02,94.78,2500
2024-02-13,SONIA,2024-02,94.78,2930
2024-02-14,SONIA,2024-02,94.78,3720
2024-02-15,SONIA,2024-02,94.78,2680
2024-02-16,SONIA,2024-02,94.79,4630
2024-02-19,SONIA,2024-02,94.78,1180
2024-02-20,SONIA,2024-02,94.78,3930
2024-02-21,SONIA,2024-02,94.78,1010
2024-02-22,SONIA,2024-02,94.78,2610
2024-02-23,SONIA,2024-02,94.78,3420
2024-02-26,SONIA,2024-02,94.78,1390
2024-02-27,SONIA,2024-02,94.78,390
2024-02-28,SONIA,2024-02,94.78,1750
2024-02-29,SONIA,2024-02,94.78,8590
2024-03-01,SONIA,2024-03,94.78,5270
2024-03-04,SONIA,2024-03,94.78,2130
2024-03-05,SONIA,2024-03,94.78,630
2024-03-06,SONIA,2024-03,94.78,790
2024-03-07,SONIA,2024-03,94.78,840
2024-03-08,SONIA,2024-03,94.78,910
2024-03-11,SONIA,2024-03,94.78,200
2024-03-12,SONIA,2024-03,94.78,620
2024-03-13,SONIA,2024-03,94.78,530
2024-03-14,SONIA,2024-03,94.78,420
2024-03-15,SONIA,2024-03,94.78,390
