trade_date,contract_code,contract_month,settle,volume
2024-01-02,TTF,2024-01,30.572,53300
2024-01-03,TTF,2024-01,32.795,68760
2024-01-04,TTF,2024-01,33.41,74790
2024-01-05,TTF,2024-01,34.551,70150
2024-01-08,TTF,2024-01,31.58,80480
2024-01-09,TTF,2024-01,30.641,70180
2024-01-10,TTF,2024-01,30.942,65850
2024-01-11,TTF,2024-01,30.817,53300
2024-01-12,TTF,2024-01,31.991,72610
2024-01-15,TTF,2024-01,29.923,73080
2024-01-16,TTF,2024-01,29.656,67130
2024-01-17,TTF,2024-01,27.708,75870
2024-01-18,TTF,2024-01,27.893,61500
2024-01-19,TTF,2024-01,28.429,68160
2024-01-22,TTF,2024-01,27.264,83960
2024-01-23,TTF,2024-01,27.227,71810
2024-01-24,TTF,2024-01,28.929,80060
2024-01-25,TTF,2024-01,27.784,74750
2024-01-26,TTF,2024-01,28.079,87060
2024-01-29,TTF,2024-01,28.174,54860
2024-01-30,TTF,2024-01,29.391,41460
2024-01-31,TTF,2024-01,30.235,72170
2024-02-01,TTF,2024-02,28.991,64900
2024-02-02,TTF,2024-02,29.304,65650
2024-02-05,TTF,2024-02,28.341,73860
2024-02-06,TTF,2024-02,28.607,64060
2024-02-07,TTF,2024-02,28.186,53050
2024-02-08,TTF,2024-02,27.812,56740
2024-02-09,TTF,2024-02,27.117,66550
2024-02-12,TTF,2024-02,25.729,69380
2024-02-13,TTF,2024-02,25.436,59500
2024-02-14,TTF,2024-02,24.857,69520
2024-02-15,TTF,2024-02,24.966,67730
2024-02-16,TTF,2024-02,24.822,66880
2024-02-19,TTF,2024-02,23.704,59140
2024-02-20,TTF,2024-02,24.168,76730
2024-02-21,TTF,2024-02,23.977,53600
2024-02-22,TTF,2024-02,23.193,64959
2024-02-23,TTF,2024-02,22.934,73810
2024-02-26,TTF,2024-02,24.009,70320
2024-02-27,TTF,2024-02,24.392,75530
2024-02-28,TTF,2024-02,25.619,45170
2024-02-29,TTF,2024-02,24.865,80400
2024-03-01,TTF,2024-03,25.809,79230
2024-03-04,TTF,2024-03,26.885,95040
2024-03-05,TTF,2024-03,27.468,115910
2024-03-06,TTF,2024-03,26.572,108090
2024-03-07,TTF,2024-03,25.992,83530
2024-03-08,TTF,2024-03,26.392,80470
2024-03-11,TTF,2024-03,24.93,93700
2024-03-12,TTF,2024-03,24.775,79800
2024-03-13,TTF,2024-03,24.903,69300
