"Date","Price","Open","High","Low","Vol.","Change %"
"09/24/2025","97.980","97.975","97.980","97.975","36.95K","0.01%"
"09/23/2025","97.975","97.975","97.985","97.975","15.83K","-0.01%"
"09/22/2025","97.980","97.970","97.980","97.970","9.14K","0.01%"
"09/19/2025","97.970","97.975","97.980","97.970","11.13K","0.00%"
"09/18/2025","97.970","97.970","97.975","97.970","6.69K","0.00%"
"09/17/2025","97.970","97.970","97.980","97.970","25.09K","0.00%"
"09/16/2025","97.970","97.965","97.975","97.965","26.71K","0.00%"
"09/15/2025","97.967","97.990","97.995","97.990","13.85K","-0.02%"
"09/12/2025","97.990","97.975","97.995","97.975","242.48K","0.02%"
"09/11/2025","97.975","97.965","97.980","97.960","291.24K","0.01%"
"09/10/2025","97.965","97.965","97.965","97.960","70.91K","0.00%"
"09/09/2025","97.965","97.965","97.970","97.960","212.84K","0.00%"
"09/08/2025","97.965","97.960","97.970","97.955","142.89K","0.00%"
"09/05/2025","97.965","97.950","97.970","97.945","211.27K","0.02%"
"09/04/2025","97.950","97.955","97.960","97.950","86.54K","-0.01%"
"09/03/2025","97.955","97.955","97.960","97.950","129.29K","0.00%"
"09/02/2025","97.955","97.960","97.960","97.950","175.92K","-0.01%"
"09/01/2025","97.960","97.970","97.970","97.960","76.42K","-0.01%"
"08/29/2025","97.965","97.970","97.975","97.965","96.96K","-0.01%"
"08/28/2025","97.970","97.980","97.980","97.970","135.79K","-0.01%"
"08/27/2025","97.980","97.970","97.980","97.970","98.10K","0.01%"
"08/26/2025","97.970","97.970","97.980","97.970","135.42K","-0.01%"
"08/25/2025","97.975","97.985","97.985","97.970","75.29K","-0.01%"
"08/22/2025","97.985","97.980","97.990","97.975","112.78K","0.01%"
"08/21/2025","97.980","97.995","97.995","97.975","145.25K","-0.02%"
"08/20/2025","97.995","97.990","98.000","97.990","116.44K","0.00%"
"08/19/2025","97.995","97.995","97.995","97.990","61.62K","0.02%"
"08/18/2025","97.972","97.980","97.985","97.980","1.13K","0.00%"
"08/15/2025","97.975","97.980","97.985","97.975","11.40K","-0.01%"
"08/14/2025","97.980","97.980","97.985","97.980","5.68K","0.00%"
"08/13/2025","97.980","97.990","97.995","97.980","13.72K","-0.01%"
"08/12/2025","97.990","97.985","97.995","97.985","13.68K","0.01%"
"08/11/2025","97.985","97.995","98.000","97.985","3.48K","-0.01%"
"08/08/2025","97.995","98.000","98.005","97.990","6.35K","-0.01%"
"08/07/2025","98.000","98.005","98.010","98.000","6.44K","-0.01%"
"08/06/2025","98.010","98.015","98.015","98.005","8.04K","-0.01%"
"08/05/2025","98.015","98.015","98.020","98.010","12.75K","0.00%"
"08/04/2025","98.015","98.015","98.020","98.005","8.89K","0.01%"
"08/01/2025","98.010","97.995","98.025","97.995","12.94K","0.01%"
"07/31/2025","98.000","97.990","98.000","97.990","7.50K","0.01%"
"07/30/2025","97.995","98.000","98.005","97.990","9.97K","-0.01%"
"07/29/2025","98.005","98.010","98.010","97.995","10.28K","0.00%"
"07/28/2025","98.005","97.990","98.010","97.985","15.15K","0.01%"
"07/25/2025","98.000","98.010","98.010","97.990","15.87K","-0.02%"
"07/24/2025","98.020","98.050","98.055","98.010","18.81K","-0.05%"
"07/23/2025","98.065","98.065","98.070","98.040","18.88K","-0.01%"
"07/22/2025","98.070","98.060","98.070","98.055","10.19K","0.01%"
"07/21/2025","98.065","98.065","98.065","98.055","10.51K","0.02%"
"07/18/2025","98.050","98.045","98.065","98.040","17.85K","0.00%"
"07/17/2025","98.050","98.055","98.060","98.045","10.60K","-0.01%"
"07/16/2025","98.060","98.045","98.065","98.040","10.76K","0.02%"
"07/15/2025","98.045","98.040","98.055","98.040","16.93K","0.09%"
"07/14/2025","97.959","97.985","97.985","97.975","8.21K","-0.02%"
"07/11/2025","97.980","98.010","98.015","97.980","20.31K","-0.03%"
"07/10/2025","98.010","98.030","98.030","98.005","31.55K","-0.02%"
"07/09/2025","98.030","98.035","98.040","98.025","18.15K","-0.01%"
"07/08/2025","98.035","98.040","98.040","98.030","13.55K","-0.01%"
"07/07/2025","98.045","98.045","98.045","98.035","18.24K","0.01%"
"07/04/2025","98.035","98.050","98.050","98.035","20.96K","-0.01%"
"07/03/2025","98.045","98.030","98.050","98.030","19.94K","0.02%"
"07/02/2025","98.030","98.025","98.035","98.025","20.33K","0.00%"
"07/01/2025","98.030","98.030","98.040","98.030","18.24K","0.00%"
"06/30/2025","98.030","98.035","98.045","98.030","19.75K","-0.01%"
"06/27/2025","98.040","98.045","98.055","98.035","44.61K","-0.01%"
"06/26/2025","98.045","98.040","98.050","98.040","59.44K","0.01%"
"06/25/2025","98.035","98.035","98.045","98.030","55.43K","0.01%"
"06/24/2025","98.030","98.005","98.035","98.005","42.58K","0.03%"
"06/23/2025","98.000","97.995","98.005","97.995","8.38K","0.00%"
"06/20/2025","98.000","98.000","98.000","97.995","12.08K","0.00%"
