"Date","Price","Open","High","Low","Vol.","Change %"
"09/24/2025","96.14","96.14","96.14","96.13","54.66K","0.00%"
"09/23/2025","96.14","96.14","96.14","96.13","100.53K","0.00%"
"09/22/2025","96.14","96.14","96.14","96.13","60.18K","0.01%"
"09/19/2025","96.13","96.14","96.14","96.12","92.90K","-0.01%"
"09/18/2025","96.14","96.14","96.16","96.13","149.32K","0.11%"
"09/17/2025","96.03","96.04","96.04","96.03","46.89K","-0.01%"
"09/16/2025","96.04","96.04","96.04","96.03","30.48K","0.00%"
"09/15/2025","96.04","96.03","96.04","96.03","49.95K","0.01%"
"09/12/2025","96.03","96.04","96.04","96.03","66.47K","-0.01%"
"09/11/2025","96.04","96.04","96.04","96.04","60.78K","0.00%"
"09/10/2025","96.04","96.04","96.04","96.04","62.15K","0.17%"
"09/09/2025","95.88","95.88","95.88","95.87","0.45K","0.01%"
"09/08/2025","95.87","95.88","95.88","95.88","0.31K","0.00%"
"09/05/2025","95.88","95.88","95.88","95.87","1.07K","0.00%"
"09/04/2025","95.88","95.88","95.88","95.87","0.46K","0.00%"
"09/03/2025","95.88","95.88","95.88","95.87","1.21K","0.00%"
"09/02/2025","95.88","95.87","95.88","95.87","0.67K","0.00%"
"09/01/2025","95.88","95.87","95.88","95.87","0.60K","0.00%"
"08/29/2025","95.87","95.88","95.88","95.87","0.73K","0.00%"
"08/28/2025","95.87","95.87","95.87","95.87","0.20K","0.00%"
"08/27/2025","95.88","95.88","95.88","95.87","1.93K","0.00%"
"08/26/2025","95.88","95.88","95.88","95.87","3.71K","0.00%"
"08/22/2025","95.88","95.88","95.88","95.88","4.29K","0.00%"
"08/21/2025","95.87","95.88","95.88","95.87","18.56K","0.00%"
"08/20/2025","95.87","95.88","95.88","95.87","2.14K","0.00%"
"08/19/2025","95.88","95.88","95.88","95.87","2.30K","0.00%"
"08/18/2025","95.88","95.88","95.88","95.87","2.06K","0.00%"
"08/15/2025","95.88","95.88","95.88","95.87","8.76K","0.00%"
"08/14/2025","95.87","95.88","95.88","95.87","3.98K","0.00%"
"08/13/2025","95.88","95.88","95.88","95.87","1.27K","0.00%"
"08/12/2025","95.87","95.88","95.88","95.88","1.45K","0.00%"
"08/11/2025","95.87","95.88","95.88","95.87","2.47K","0.00%"
"08/08/2025","95.87","95.88","95.88","95.88","3.85K","0.00%"
"08/07/2025","95.87","95.87","95.88","95.87","27.62K","0.00%"
"08/06/2025","95.87","95.87","95.87","95.87","26.58K","0.00%"
"08/05/2025","95.87","95.87","95.87","95.87","7.16K","0.00%"
"08/04/2025","95.87","95.87","95.87","95.87","6.04K","0.00%"
"08/01/2025","95.87","95.87","95.87","95.87","34.84K","0.01%"
