"Date","Price","Open","High","Low","Vol.","Change %"
"09/24/2025","83.11","83.40","84.01","83.01","0.43K","-1.05%"
"09/23/2025","83.99","83.35","84.40","83.06","0.55K","1.36%"
"09/22/2025","82.86","83.97","83.97","82.80","0.32K","-1.46%"
"09/19/2025","84.09","85.15","85.80","83.70","0.93K","-1.48%"
"09/18/2025","85.35","84.45","85.70","84.18","0.45K","1.73%"
"09/17/2025","83.90","84.89","84.91","83.71","0.25K","0.08%"
"09/16/2025","83.83","82.10","84.00","82.00","0.45K","0.84%"
"09/15/2025","83.14","84.00","84.00","82.51","0.97K","-1.52%"
"09/12/2025","84.42","83.54","85.25","82.97","0.35K","1.08%"
"09/11/2025","83.52","85.00","85.00","83.49","0.24K","-2.14%"
"09/10/2025","85.35","85.19","86.03","84.79","0.38K","0.33%"
"09/09/2025","85.07","84.92","85.94","83.06","0.52K","-0.58%"
"09/08/2025","85.56","84.21","85.93","83.72","0.49K","3.29%"
"09/05/2025","82.84","84.00","84.51","82.60","0.76K","-1.25%"
"09/04/2025","83.89","82.75","84.62","82.30","0.33K","0.77%"
"09/03/2025","83.25","82.45","83.31","81.81","0.47K","0.59%"
"09/02/2025","82.76","83.24","84.88","82.36","0.76K","-0.38%"
"09/01/2025","83.08","83.43","83.82","83.13","0.33K","0.94%"
"08/29/2025","82.31","82.25","83.10","81.79","0.54K","-0.14%"
"08/28/2025","82.42","82.53","82.97","81.30","0.51K","-2.58%"
"08/27/2025","84.60","86.00","86.10","84.31","0.61K","-2.80%"
"08/26/2025","87.04","86.85","87.30","86.74","0.32K","-0.92%"
"08/22/2025","87.85","87.53","87.90","86.49","0.36K","1.01%"
"08/21/2025","86.97","85.04","87.36","85.00","0.57K","3.61%"
"08/20/2025","83.93","82.49","84.65","82.20","0.24K","2.08%"
"08/19/2025","82.23","82.21","82.43","81.37","0.42K","0.01%"
"08/18/2025","82.21","81.95","82.60","80.70","0.58K","0.31%"
"08/15/2025","81.96","84.85","84.85","81.44","0.75K","-3.01%"
"08/14/2025","84.51","86.00","86.00","83.87","0.59K","-1.62%"
"08/13/2025","85.90","86.00","86.37","85.75","0.54K","0.46%"
"08/12/2025","85.50","87.00","87.00","85.26","0.81K","-1.79%"
"08/11/2025","87.06","86.49","87.45","86.19","0.65K","1.36%"
"08/08/2025","85.90","86.80","88.30","85.45","0.72K","-1.77%"
"08/07/2025","87.45","88.00","88.30","87.28","0.78K","-1.50%"
"08/06/2025","88.78","90.25","90.57","88.50","1.41K","-2.58%"
"08/05/2025","91.13","90.25","91.44","89.80","0.62K","0.08%"
"08/04/2025","91.05","89.83","91.31","89.48","0.61K","0.77%"
"08/01/2025","90.36","92.18","92.70","89.95","0.63K","-2.64%"
"07/31/2025","92.81","91.18","93.25","90.93","0.84K","0.22%"
"07/30/2025","92.61","92.30","92.75","90.00","0.66K","0.92%"
"07/29/2025","91.76","90.50","92.11","90.50","0.65K","2.80%"
"07/28/2025","89.26","88.75","89.76","87.20","0.52K","0.71%"
"07/25/2025","88.63","88.14","89.03","86.80","0.63K","1.34%"
"07/24/2025","87.46","87.72","88.00","86.75","0.76K","-0.17%"
"07/23/2025","87.60","89.66","89.73","87.49","0.85K","-1.24%"
"07/22/2025","88.70","89.51","89.51","88.42","1.16K","0.00%"
"07/21/2025","88.70","90.20","90.20","88.75","0.59K","-1.34%"
"07/18/2025","89.91","92.27","92.27","89.50","0.85K","-1.55%"
"07/17/2025","91.33","93.01","93.19","91.20","0.60K","-1.27%"
"07/16/2025","92.50","92.94","93.50","91.99","1.39K","0.26%"
"07/15/2025","92.26","93.34","93.91","91.99","0.54K","-2.64%"
"07/14/2025","94.75","94.80","95.88","94.00","0.76K","0.17%"
"07/11/2025","94.59","94.15","95.00","92.60","0.53K","1.18%"
"07/10/2025","93.48","93.25","93.91","93.25","0.91K","1.83%"
"07/09/2025","91.80","92.21","92.76","91.74","0.71K","0.46%"
"07/08/2025","91.38","92.10","92.23","90.58","0.65K","1.16%"
"07/07/2025","90.33","90.40","91.49","89.75","1.13K","-0.13%"
"07/04/2025","90.45","90.47","91.08","90.10","0.78K","0.00%"
"07/03/2025","90.45","90.70","91.90","89.95","0.59K","-0.22%"
"07/02/2025","90.65","91.00","91.10","90.05","0.61K","1.13%"
"07/01/2025","89.64","87.24","90.46","87.24","0.82K","2.39%"
"06/30/2025","87.54","88.49","89.00","86.87","0.91K","10.41%"
"06/27/2025","79.29","79.80","80.45","79.70","0.08K","-2.98%"
"06/26/2025","81.72","83.60","83.60","81.20","0.23K","-4.28%"
"06/25/2025","85.37","86.47","86.53","85.19","0.30K","-0.35%"
"06/24/2025","85.67","85.31","88.05","84.87","0.39K","-12.68%"
"06/23/2025","98.11","100.43","101.43","97.80","0.50K","-1.04%"
"06/20/2025","99.15","97.15","99.71","96.89","1.66K","-1.63%"
"06/19/2025","100.79","97.01","101.20","96.40","1.61K","7.65%"
"06/18/2025","93.63","96.50","97.50","93.48","0.95K","-1.41%"
"06/17/2025","94.97","92.00","95.35","92.00","0.21K","4.18%"
"06/16/2025","91.16","93.50","95.53","90.00","0.70K","-0.32%"
"06/13/2025","91.46","89.74","92.58","89.67","0.82K","5.37%"
"06/12/2025","86.80","87.11","87.50","86.07","0.52K","0.86%"
"06/11/2025","86.06","84.12","86.08","84.00","0.31K","4.31%"
