date,horizon_days,pnl_realized,VaR_energy,IM_energy,VaR_financials,IM_financials,AddOn_liquidity,IM_total,breach_var,breach_im
2025-03-13,2,7267.281545369741,0.0,0.0,79072.57791812575,83026.20681403205,435623.190544868,518649.39735890005,False,False
2025-03-14,2,82383.6072860889,0.0,0.0,79006.92957897394,82957.27605792265,446786.16563484224,529743.4416927649,True,False
2025-03-17,2,-65001.62057922126,0.0,0.0,78917.3914276818,82863.26099906588,456368.00846024335,539231.2694593093,False,False
2025-03-18,2,-135125.56644927603,0.0,0.0,79032.85105783147,82984.49361072305,475107.95582726627,558092.4494379893,False,False
2025-03-19,2,6699.491866804592,0.0,0.0,79450.38448785733,83422.9037122502,500036.4582669687,583459.3619792189,False,False
2025-03-20,2,843.9692191032191,0.0,0.0,79833.3751874327,83825.04394680433,449280.11862538237,533105.1625721867,False,False
2025-03-21,2,-3468.3052692083274,0.0,0.0,79924.87610468679,83921.11990992114,431347.5332716958,515268.6531816169,False,False
2025-03-24,2,-4457.699672617826,0.0,0.0,79992.35750591733,83991.9753812132,437615.6803333061,521607.65571451926,False,False
2025-03-25,2,-10087.650466492787,0.0,0.0,86270.10504155292,90583.61029363057,430452.5953642869,521036.2056579175,False,False
2025-03-26,2,25579.05260233071,0.0,0.0,92953.1387185434,97600.79565447057,437737.543349964,535338.3390044346,False,False
2025-03-27,2,-6392.909612009629,0.0,0.0,92803.48537138643,97443.65963995576,436044.38138316903,533488.0410231248,False,False
2025-03-28,2,-42347.21895842527,0.0,0.0,92696.08349249074,97330.88766711528,433751.44525768334,531082.3329247986,False,False
2025-03-31,2,-708.1217934367269,0.0,0.0,92528.2745337717,97154.6882604603,426570.90653862816,523725.59479908843,False,False
2025-04-01,2,99785.7386244151,0.0,0.0,92421.14131759256,97042.19838347219,417437.8051128065,514480.00349627866,True,False
2025-04-02,2,215552.97769727328,0.0,0.0,92299.27301118504,96914.23666174429,414548.518189835,511462.7548515793,True,False
2025-04-03,2,138714.9320234117,0.0,0.0,92210.93308731382,96821.47974167952,400287.37090763095,497108.85064931045,True,False
2025-04-04,2,43753.31218684014,0.0,0.0,92060.36372873814,96663.38191517505,345589.07493462815,442252.4568498032,False,False
2025-04-07,2,33070.80837234497,0.0,0.0,91930.05251490642,96526.55514065175,326162.2201254027,422688.77526605444,False,False
2025-04-08,2,26374.084086320407,0.0,0.0,91814.1731719054,96404.88183050067,309228.64317115454,405633.5250016552,False,False
2025-04-09,2,5020.711947314233,0.0,0.0,91663.20816042661,96246.36856844794,291823.0538595276,388069.4224279755,False,False
2025-04-10,2,-22280.587372382375,0.0,0.0,91326.91169631114,95893.2572811267,282421.0487336273,378314.306014754,False,False
2025-04-11,2,38894.06865000457,0.0,0.0,91157.94490447936,95715.84214970333,277830.2906778785,373546.13282758184,False,False
2025-04-14,2,23560.513002363223,0.0,0.0,90968.23243256347,95516.64405419165,278021.7375998707,373538.38165406237,False,False
2025-04-15,2,-36761.886660978285,0.0,0.0,91157.55074338143,95715.4282805505,271728.4503264355,367443.878606986,False,False
2025-04-16,2,48359.275548586724,0.0,0.0,90981.05459902273,95530.10732897387,257424.56355609084,352954.6708850647,False,False
2025-04-17,2,22445.298293915374,0.0,0.0,91081.48835748601,95635.56277536032,259836.99500684277,355472.5577822031,False,False
2025-04-21,2,1801.6559340735023,0.0,0.0,,0.0,146.92499999999998,146.92499999999998,False,True
2025-04-22,2,8167.586112120399,0.0,0.0,90781.19306698833,95320.25272033775,251593.25931063603,346913.5120309738,False,False
2025-04-23,2,-944.731648685347,0.0,0.0,90596.1192524555,95125.92521507827,245194.06296256365,340319.98817764194,False,False
2025-04-24,2,16414.199379550413,0.0,0.0,90439.78139067287,94961.77046020652,240885.11243148887,335846.88289169536,False,False
2025-04-25,2,40212.672945886385,0.0,0.0,90254.77666514422,94767.51549840144,236045.05293727876,330812.5684356802,False,False
2025-04-28,2,40477.77572188565,0.0,0.0,90173.51215142454,94682.18775899577,236177.2219381271,330859.4096971229,False,False
2025-04-29,2,26257.013814795122,0.0,0.0,90097.3736705288,94602.24235405524,233366.8812587133,327969.12361276854,False,False
2025-04-30,2,21371.11658057356,0.0,0.0,90021.31974131794,94522.38572838384,232472.1337700754,326994.51949845924,False,False
2025-05-01,2,47260.06995339997,0.0,0.0,,0.0,187474.76444711353,187474.76444711353,False,False
2025-05-02,2,-59594.51639782405,0.0,0.0,89847.42298282572,94339.794131967,227068.78684813477,321408.5809801018,False,False
2025-05-05,2,-55775.379649892886,0.0,0.0,,0.0,46697.52285994299,46697.52285994299,False,False
2025-05-06,2,-20915.071932982573,0.0,0.0,89651.39745594471,94133.96732874194,226408.7101768597,320542.67750560166,False,False
2025-05-07,2,-46706.5218553827,0.0,0.0,89545.85471605716,94023.14745186003,223735.86257449648,317759.0100263565,False,False
2025-05-08,2,-49929.622813295806,0.0,0.0,89398.33134308943,93868.24791024391,222914.23632690957,316782.4842371535,False,False
2025-05-09,2,-71380.2064423451,0.0,0.0,89293.87281589037,93758.56645668489,223954.5839482633,317713.15040494816,False,False
